"week_dat","station","Season","District","monitoring_week","ALCM_count","sum","No_traps","hrs_wet","weekly_CGDD","Total_Rainfall","Mean_mintemp","Mean_maxtemp","Mean_meantemp"
2008-09-15,"PAK","2008-09","Pakowhai",2,759,800,2,62,9459.8,12.5,5.26666666666667,16.35,10.5166666666667
2008-09-22,"PAK","2008-09","Pakowhai",3,632,1432,2,31,9713,0.3,7.35,20.0166666666667,13.5333333333333
2008-09-29,"PAK","2008-09","Pakowhai",4,146,1578,2,42,9931.8,4.9,7.1,20.8166666666667,13.3166666666667
2008-10-06,"PAK","2008-09","Pakowhai",5,233,1811,2,38,10238.2,2.7,6.91666666666667,19.4166666666667,13.0666666666667
2008-10-13,"PAK","2008-09","Pakowhai",6,506,2317,2,73,23100.1,32.9,9.13846153846154,19.7769230769231,14.2769230769231
2008-10-27,"PAK","2008-09","Pakowhai",7,143,2460,2,74,24355.1,6.4,6.85384615384615,19.9769230769231,13.6769230769231
2008-11-10,"PAK","2008-09","Pakowhai",8,54,2514,2,59,11703.7,0.2,11.35,22.6833333333333,16.8833333333333
2008-11-17,"PAK","2008-09","Pakowhai",9,2374,4888,2,16,12078.9,0.5,10.2833333333333,22.7833333333333,16.6333333333333
2008-11-24,"PAK","2008-09","Pakowhai",10,3358,8246,2,42,12577.4,6.3,12.15,22.6666666666667,17.3833333333333
2008-12-01,"PAK","2008-09","Pakowhai",11,2278,10524,2,24,13075.1,0.5,13.4833333333333,26.8,20.2333333333333
2008-12-08,"PAK","2008-09","Pakowhai",12,840,11364,2,31,13572.5,11,13.9833333333333,22.3333333333333,17.5166666666667
2008-12-15,"PAK","2008-09","Pakowhai",13,383,11747,2,57,30932.5,24.1,12.6,23.6615384615385,18.0769230769231
2008-12-29,"PAK","2008-09","Pakowhai",14,2416,14163,2,15,5099.7,1.8,13.1,27.1666666666667,20.6666666666667
2009-01-05,"PAK","2008-09","Pakowhai",15,1486,15649,2,36,686,2,14.2833333333333,26.6833333333333,20.3333333333333
2009-01-12,"PAK","2008-09","Pakowhai",16,2221,17870,2,55,1173.5,3.7,12.3833333333333,24.4666666666667,18.3666666666667
2009-01-19,"PAK","2008-09","Pakowhai",17,523,18393,2,37,1668.7,0,12.8333333333333,25.4333333333333,19.4666666666667
2009-01-26,"PAK","2008-09","Pakowhai",18,354,18747,2,45,2183.1,0,12.3166666666667,28.5333333333333,19.5666666666667
2009-02-02,"PAK","2008-09","Pakowhai",19,310,19057,2,45,2735.7,1.5,14.3833333333333,27.2833333333333,20.6166666666667
2009-02-09,"PAK","2008-09","Pakowhai",20,2188,21245,2,49,3316.4,10,13.55,24.3,18.4666666666667
2009-02-16,"PAK","2008-09","Pakowhai",21,470,21715,2,50,3773.4,8.1,14.8333333333333,25.6,19.7
2009-02-23,"PAK","2008-09","Pakowhai",22,2205,23920,2,61,4273.4,62,14.1666666666667,22.8166666666667,18.0833333333333
2009-03-02,"PAK","2008-09","Pakowhai",23,997,24917,2,51,4759.4,20,12.15,23.6,18.15
2009-03-09,"PAK","2008-09","Pakowhai",24,2272,27189,2,41,5135.3,3,7.5,20.15,13.9166666666667
2009-03-16,"PAK","2008-09","Pakowhai",25,191,27380,2,54,5513.7,7.5,10.6666666666667,22.7166666666667,16.5833333333333
2009-03-23,"PAK","2008-09","Pakowhai",26,493,27873,2,61,5803,0,6.43333333333333,22.45,13.9
2009-03-30,"PAK","2008-09","Pakowhai",27,99,27972,2,68,6069.9,0.9,6.4,18.3666666666667,11.9833333333333
2009-04-06,"PAK","2008-09","Pakowhai",28,18,27990,2,58,6293.6,0.9,4.15,19.35,11.3333333333333
2009-04-13,"PAK","2008-09","Pakowhai",29,14,28004,2,71,6504,0.1,7.63333333333333,20.75,13.5166666666667
2009-04-20,"PAK","2008-09","Pakowhai",30,21,28025,2,44,6736,1,9.78333333333333,17.55,13.2
2009-04-27,"PAK","2008-09","Pakowhai",31,7,28032,2,0,0,0,0,0,0
2008-09-15,"LND","2008-09","Waimea",1,1,1,2,130,17626.6,11.4,12.2,32.9,23.3333333333333
2008-09-22,"LND","2008-09","Waimea",2,1,2,2,34,18031.8,3,11.6,36.1333333333333,23.2333333333333
2008-09-29,"LND","2008-09","Waimea",3,1,3,2,24,18367.2,4.4,15.4666666666667,38,25.8333333333333
2008-10-06,"LND","2008-09","Waimea",4,6,9,2,54,18842,18.4,10,35.9333333333333,23.3
2008-10-13,"LND","2008-09","Waimea",5,0,9,2,110,19316.6,42,14.6,35.3333333333333,25.3
2008-10-20,"LND","2008-09","Waimea",6,1,10,2,108,19794.6,59.4,18.0333333333333,36.0333333333333,26.5
2008-10-27,"LND","2008-09","Waimea",7,0,10,2,40,20392.2,9,15.5666666666667,38.7666666666667,27.2333333333333
2008-11-03,"LND","2008-09","Waimea",8,0,10,2,64,20791,9.6,11.4333333333333,31.3333333333333,21.5
2008-11-10,"LND","2008-09","Waimea",9,1,11,2,106,21362,20.8,21.8666666666667,40.9666666666667,31.1333333333333
2008-11-17,"LND","2008-09","Waimea",10,0,11,2,48,21999.8,35.6,18.3333333333333,38.6333333333333,29.1666666666667
2008-11-24,"LND","2008-09","Waimea",11,4,15,2,50,22732.4,0,21.3,45.0333333333333,32.3666666666667
2008-12-01,"LND","2008-09","Waimea",12,3,18,2,44,23572.8,0.2,21.4333333333333,46.0666666666667,33.5666666666667
2008-12-08,"LND","2008-09","Waimea",13,1,19,2,182,53633.2,156,24.1076923076923,42.3538461538462,32.9846153846154
2008-12-22,"LND","2008-09","Waimea",14,35,54,2,166,39434.4,1.6,23.9692307692308,46.0307692307692,34.9230769230769
2009-01-05,"LND","2008-09","Waimea",15,206,260,2,82,1166.4,0,26.4666666666667,49.2333333333333,38.3
2009-01-12,"LND","2008-09","Waimea",16,671,931,2,128,2110.2,34.4,24.5666666666667,46.4666666666667,35.3
2009-01-19,"LND","2008-09","Waimea",17,626,1557,2,86,2992.4,0,22.5333333333333,48.5333333333333,36.3
2009-01-26,"LND","2008-09","Waimea",18,2484,4041,2,66,3986.8,3.4,27.3333333333333,53.8333333333333,39.3333333333333
2009-02-02,"LND","2008-09","Waimea",19,666,4707,2,132,12026,60.2,28.1692307692308,47.7538461538462,37.5076923076923
2009-02-16,"LND","2008-09","Waimea",20,254,4961,2,92,6927.8,63,25.9,46.2333333333333,35.5
2009-02-23,"LND","2008-09","Waimea",21,417,5378,2,90,7777,75.8,27.3666666666667,41.9666666666667,34.2333333333333
2009-03-02,"LND","2008-09","Waimea",22,299,5677,2,118,19527,34.6,20.3692307692308,42.8615384615385,31.3692307692308
2009-03-16,"LND","2008-09","Waimea",23,137,5814,2,178,22435.2,21.8,18.0615384615385,42.4307692307692,30.0615384615385
2009-03-30,"LND","2008-09","Waimea",24,201,6015,2,0,0,0,0,0,0
2009-09-07,"HAV","2009-10","Havelock North",1,811,811,8,220,42738.8,9.5,31.5840909090909,71.7884615384615,45.7769230769231
2009-09-14,"HAV","2009-10","Havelock North",2,1378,2189,6,102,25359.9,28.5,19.6,49.5,33.95
2009-09-21,"HAV","2009-10","Havelock North",3,2481,4670,8,204,34358,160,22.8,60.9333333333333,40.4666666666667
2009-09-28,"HAV","2009-10","Havelock North",4,927,5597,8,306,55971.4,351.6,28.9179487179487,65.874358974359,48.3615384615385
2009-10-05,"HAV","2009-10","Havelock North",5,173,5770,4,62,17845.6,40,9.73333333333333,29.9,19.2
2009-10-12,"HAV","2009-10","Havelock North",6,258,6028,8,175,69408.7,53.1,29.6141025641026,76.4374358974359,53.2924358974359
2009-10-19,"HAV","2009-10","Havelock North",7,85,6113,4,107,29733.1,47.1,8.99358974358974,31.0012820512821,19.9679487179487
2009-10-26,"HAV","2009-10","Havelock North",8,77,6190,4,42,18992.2,21.4,14.3666666666667,29.0333333333333,21.2
2009-11-02,"HAV","2009-10","Havelock North",9,155,6345,8,151,50653.4,0.2,28.725,83.2666666666667,56.8333333333333
2009-11-09,"HAV","2009-10","Havelock North",10,262,6607,6,48,29848.2,0,18.54,58.56,39.18
2009-11-16,"HAV","2009-10","Havelock North",11,920,7527,8,112,41113.6,40,41.8,83.4666666666667,61.3333333333333
2009-11-23,"HAV","2009-10","Havelock North",12,4693,12220,8,210,68355.6,162.6,43.2230769230769,91.4538461538462,66.3717948717949
2009-11-30,"HAV","2009-10","Havelock North",13,2424,14644,4,96,22071.4,154.2,22.6,35.4,28.9
2009-12-07,"HAV","2009-10","Havelock North",14,2455,17099,8,88,45801.2,0.8,51.8666666666667,101.2,77.6
2009-12-14,"HAV","2009-10","Havelock North",15,746,17845,8,208,47393.2,60,32.3333333333333,85.3333333333333,59.9333333333333
2009-12-21,"HAV","2009-10","Havelock North",16,615,18460,8,164,48848,0.8,42.4,91.3333333333333,68.0666666666667
2009-12-28,"HAV","2009-10","Havelock North",17,1238,19698,8,60,25494,4,50.8666666666667,104.933333333333,76.6
2010-01-04,"HAV","2009-10","Havelock North",18,8001,27699,8,48,2168.8,0,39.6666666666667,95.6,70.8
2010-01-11,"HAV","2009-10","Havelock North",19,3757,31456,8,180,3682,146.8,49.3333333333333,77.8,62.2666666666667
2010-01-18,"HAV","2009-10","Havelock North",20,1192,32648,8,200,5477.2,123.2,61.4666666666667,91.8666666666667,74.8
2010-01-25,"HAV","2009-10","Havelock North",21,2798,35446,8,320,7371.6,342,61.6666666666667,88.4666666666667,74.8666666666667
2010-02-01,"HAV","2009-10","Havelock North",22,3111,38557,8,176,21458.8,20.8,59.8181818181818,93.8545454545455,76.4727272727273
2010-02-15,"HAV","2009-10","Havelock North",23,7926,46483,8,128,12806.4,3.2,52.4666666666667,92.4,72.5333333333333
2010-02-22,"HAV","2009-10","Havelock North",24,6643,53126,8,192,14660,2,42.2,93.4666666666667,70.4
2010-03-01,"HAV","2009-10","Havelock North",25,1502,54628,8,88,16486.4,10,48.2666666666667,92.4,70.0666666666667
2010-03-08,"HAV","2009-10","Havelock North",26,979,55607,8,48,18085.2,6,39.8666666666667,94.1333333333333,65
2010-03-15,"HAV","2009-10","Havelock North",27,1815,57422,8,192,43902.4,18,32.4307692307692,94.6153846153846,62.1846153846154
2010-03-29,"HAV","2009-10","Havelock North",28,658,58080,8,124,22160,4.8,22.6666666666667,85.8,53.9333333333333
2010-04-05,"HAV","2009-10","Havelock North",29,257,58337,8,705,95332.3,98.6,25.745,80.0564102564103,49.8470085470085
2010-04-19,"HAV","2009-10","Havelock North",30,6,58343,2,84,13788.9,12.2,7.775,21.2923076923077,13.5384615384615
2010-05-03,"HAV","2009-10","Havelock North",31,127,58470,8,0,0,0,0,0,0
2009-09-14,"RIR","2009-10","Motueka",1,731,731,3,138,21574.8,7.8,12.75,50.75,30.8
2009-09-21,"RIR","2009-10","Motueka",2,54,785,3,231,21943.5,153,16.75,44.55,30.25
2009-09-28,"RIR","2009-10","Motueka",3,388,1173,3,153,22464,123.6,17.6,50.6,33
2009-10-05,"RIR","2009-10","Motueka",4,780,1953,3,156,22761.3,180,12.4,42,28
2009-10-12,"RIR","2009-10","Motueka",5,53,2006,3,198,23222.7,246.6,22.2,49,35.4
2009-10-19,"RIR","2009-10","Motueka",6,14,2020,3,135,23762.7,27.6,20.05,51.05,34.4
2009-10-26,"RIR","2009-10","Motueka",7,17,2037,3,90,24451.2,0.6,23.05,52.65,37.65
2009-11-02,"RIR","2009-10","Motueka",8,3,2040,3,81,25245,0,20.6,60.9,41.3
2009-11-09,"RIR","2009-10","Motueka",9,9,2049,3,75,26023.2,14.4,18.35,61.45,38.3
2009-11-16,"RIR","2009-10","Motueka",10,61,2110,3,69,26931,51.6,32.8,63.8,47.85
2009-11-23,"RIR","2009-10","Motueka",11,425,2535,3,48,28136.7,77.4,28.45,70.9,49.75
2009-11-30,"RIR","2009-10","Motueka",12,108,2643,3,156,29141.7,58.8,30.45,55.7,42.95
2009-12-07,"RIR","2009-10","Motueka",13,1641,4284,3,99,30344.1,18.6,37.95,71.7,53.7
2009-12-14,"RIR","2009-10","Motueka",14,1932,6216,3,369,93259.5,125.4,29.4333333333333,66.4222222222222,48.6111111111111
2010-01-11,"RIR","2009-10","Motueka",15,1713,7929,3,42,2481.9,0,41.95,68.45,54.55
2010-01-18,"RIR","2009-10","Motueka",16,1203,9132,3,147,3979.2,168,48.95,70.45,57.3
2010-01-25,"RIR","2009-10","Motueka",17,3858,12990,3,69,5523.3,0,43.15,74.25,59.15
2010-02-01,"RIR","2009-10","Motueka",18,5488,18478,3,252,16952.7,54.6,39.6692307692308,72.0230769230769,55.7307692307692
2010-02-15,"RIR","2009-10","Motueka",19,1535,20013,3,153,9900.3,3,34.8,69.45,52.05
2010-02-22,"RIR","2009-10","Motueka",20,287,20300,3,78,11286.3,7.2,33.45,73.2,53.2
2010-03-01,"RIR","2009-10","Motueka",21,353,20653,3,213,28379.7,20.4,28.6846153846154,69.6,48.3
2010-03-15,"RIR","2009-10","Motueka",22,582,21235,3,54,14747.7,0,26.7,73.3,48.4
2010-03-22,"RIR","2009-10","Motueka",23,71,21306,3,534,77154.3,94.2,20.9444444444444,62.4555555555556,40.9444444444444
2010-04-19,"RIR","2009-10","Motueka",24,57,21363,3,0,0,0,0,0,0
2009-09-07,"PAK","2009-10","Pakowhai",1,604,604,2,56,8920.2,0,6.38333333333333,18.7833333333333,12.1333333333333
2009-09-14,"PAK","2009-10","Pakowhai",2,2514,3118,2,54,9176.6,9,6.68333333333333,17.45,11.75
2009-09-21,"PAK","2009-10","Pakowhai",3,2333,5451,2,60,9333.3,36.1,5.83333333333333,15.5166666666667,10.4666666666667
2009-09-28,"PAK","2009-10","Pakowhai",4,550,6001,2,113,20828.1,109.5,6.54615384615385,16.2384615384615,11.2615384615385
2009-10-12,"PAK","2009-10","Pakowhai",5,742,6743,2,24,9916.1,1.3,8.46666666666667,21.35,14.8166666666667
2009-10-19,"PAK","2009-10","Pakowhai",6,168,6911,2,60,10121.7,16.3,3.83333333333333,16.8333333333333,10.2166666666667
2009-10-26,"PAK","2009-10","Pakowhai",7,27,6938,2,48,10311,19,7.65,15.4333333333333,11.2333333333333
2009-11-02,"PAK","2009-10","Pakowhai",8,190,7128,2,49,10605.9,0,8.41666666666667,21.6833333333333,15.0166666666667
2009-11-09,"PAK","2009-10","Pakowhai",9,1056,8184,2,12,10817.8,0.1,7.82,20.78,14.08
2009-11-16,"PAK","2009-10","Pakowhai",10,1569,9753,2,51,11172.2,11.6,11.1333333333333,21.35,15.75
2009-11-23,"PAK","2009-10","Pakowhai",11,3488,13241,2,43,11587.3,0.1,11.25,25.3166666666667,17.9666666666667
2009-11-30,"PAK","2009-10","Pakowhai",12,2688,15929,2,65,11979.4,77.1,11.2833333333333,19.0833333333333,15.0666666666667
2009-12-07,"PAK","2009-10","Pakowhai",13,2134,18063,2,43,12425,0,13.4333333333333,27.0666666666667,20.0666666666667
2009-12-14,"PAK","2009-10","Pakowhai",14,139,18202,2,51,12846.1,3.3,8.8,22.6166666666667,15.8
2009-12-21,"PAK","2009-10","Pakowhai",15,471,18673,2,51,13242.9,0.4,11.35,23.9666666666667,17.7333333333333
2009-12-28,"PAK","2009-10","Pakowhai",16,713,19386,2,22,6907.2,0.9,13.9833333333333,26.8,20.0666666666667
2010-01-04,"PAK","2009-10","Pakowhai",17,1098,20484,2,22,584.3,0,10.25,25.05,18.5166666666667
2010-01-11,"PAK","2009-10","Pakowhai",18,972,21456,2,66,986.1,35.5,12.0333333333333,20.15,15.95
2010-01-18,"PAK","2009-10","Pakowhai",19,863,22319,2,66,1453.9,31.6,15.4833333333333,24.8666666666667,19.1666666666667
2010-01-25,"PAK","2009-10","Pakowhai",20,845,23164,2,86,1951.7,78.8,15.8666666666667,23.4,19.3666666666667
2010-02-01,"PAK","2009-10","Pakowhai",21,800,23964,2,89,5931.6,19.4,15.5615384615385,24.9384615384615,19.9461538461538
2010-02-15,"PAK","2009-10","Pakowhai",22,1478,25442,2,56,3539.4,0.8,13.8333333333333,24.45,18.7333333333333
2010-02-22,"PAK","2009-10","Pakowhai",23,1105,26547,2,77,4026.5,1,10.9666666666667,24.75,18.0166666666667
2010-03-01,"PAK","2009-10","Pakowhai",24,207,26754,2,41,4513.6,2.7,12.7166666666667,23.7666666666667,17.9833333333333
2010-03-08,"PAK","2009-10","Pakowhai",25,124,26878,2,30,4922.6,2.1,10.3833333333333,23.7166666666667,16.9833333333333
2010-03-15,"PAK","2009-10","Pakowhai",26,130,27008,2,122,11966.7,6.9,9.43846153846154,23.7615384615385,16.2923076923077
2010-03-29,"PAK","2009-10","Pakowhai",27,49,27057,2,70,6051.4,4.2,6.48333333333333,22.65,14.5833333333333
2010-04-05,"PAK","2009-10","Pakowhai",28,15,27072,2,290,30168.5,28.6,7.06538461538462,20.6703703703704,13.337037037037
2010-05-03,"PAK","2009-10","Pakowhai",29,28,27100,2,0,0,0,0,0,0
2009-09-14,"LND","2009-10","Waimea",1,21,21,2,66,15496,2.8,10.2666666666667,35.7666666666667,21.4333333333333
2009-09-21,"LND","2009-10","Waimea",2,0,21,2,44,15778.8,45.8,12.8666666666667,31.0333333333333,21.5666666666667
2009-09-28,"LND","2009-10","Waimea",3,51,72,2,114,16165.6,189.4,11.4,33.9333333333333,22.3
2009-10-05,"LND","2009-10","Waimea",4,35,107,2,78,16395.4,77,9.9,30.4333333333333,20.2
2009-10-12,"LND","2009-10","Waimea",5,0,107,2,128,16777,107.4,14.1333333333333,34.2666666666667,23.6666666666667
2009-10-19,"LND","2009-10","Waimea",6,0,107,2,86,17165,25.8,13.1333333333333,34.2333333333333,23.4
2009-10-26,"LND","2009-10","Waimea",7,1,108,2,30,17625,1.2,15.8666666666667,36.3333333333333,25.6666666666667
2009-11-02,"LND","2009-10","Waimea",8,0,108,2,42,18237.6,0,17.1666666666667,41.6,29.6333333333333
2009-11-09,"LND","2009-10","Waimea",9,0,108,2,48,18824,9,13.4333333333333,40.6,26.8333333333333
2009-11-16,"LND","2009-10","Waimea",10,7,115,2,58,19465.8,22,23.2333333333333,45.6,32.4666666666667
2009-11-23,"LND","2009-10","Waimea",11,53,168,2,34,20303.8,39,21.2666666666667,49.6,34.6333333333333
2009-11-30,"LND","2009-10","Waimea",12,21,189,2,98,21005.4,23.4,20.1,38.8333333333333,29.3666666666667
2009-12-07,"LND","2009-10","Waimea",13,506,695,2,68,21794.8,9.4,25.2,45.4333333333333,34.7333333333333
2009-12-14,"LND","2009-10","Waimea",14,59,754,2,242,66838.4,96.6,21.4666666666667,45.0888888888889,33.4666666666667
2010-01-11,"LND","2009-10","Waimea",15,427,1181,2,54,1725.4,5.2,28.6333333333333,45.1666666666667,36.1666666666667
2010-01-18,"LND","2009-10","Waimea",16,911,2092,2,112,2725,152.4,31.9,45.4333333333333,37.9
2010-01-25,"LND","2009-10","Waimea",17,1076,3168,2,84,3751.8,0,29.6333333333333,50.1,40.4333333333333
2010-02-01,"LND","2009-10","Waimea",18,1352,4520,2,210,11533.4,45,27.5538461538462,49.2615384615385,37.6923076923077
2010-02-15,"LND","2009-10","Waimea",19,632,5152,2,84,6752.6,9,25.0333333333333,48.0333333333333,35.5333333333333
2010-02-22,"LND","2009-10","Waimea",20,146,5298,2,46,7719,5.8,25.4333333333333,47.4,36.6333333333333
2010-03-01,"LND","2009-10","Waimea",21,362,5660,2,134,19513.2,40,22.5538461538462,47.6923076923077,33.7230769230769
2010-03-15,"LND","2009-10","Waimea",22,807,6467,2,38,10220.8,0,22.2333333333333,49.5333333333333,35.1666666666667
2010-03-22,"LND","2009-10","Waimea",23,211,6678,2,328,53710.8,32.2,16.637037037037,40.637037037037,28.4814814814815
2010-04-19,"LND","2009-10","Waimea",24,96,6774,2,0,0,0,0,0,0
2010-08-23,"HAV","2010-11","Havelock North",1,4,4,8,620,109780.4,264.4,29.4105263157895,63.84,45.52
2010-09-13,"HAV","2010-11","Havelock North",2,271,275,8,128,34598,39.6,21.2666666666667,69.6,45.1333333333333
2010-09-20,"HAV","2010-11","Havelock North",3,120,395,8,216,78102,20.8,29.4153846153846,74.2461538461538,52.7692307692308
2010-10-04,"HAV","2010-11","Havelock North",4,1290,1685,8,233,48622.8,108.6,23.2269230769231,74.8076923076923,49.5846153846154
2010-10-11,"HAV","2010-11","Havelock North",5,194,1879,6,210,28742.4,262.8,29.8,50.55,39.85
2010-10-18,"HAV","2010-11","Havelock North",6,185,2064,8,144,39176,2,21.5333333333333,65.9333333333333,44.6666666666667
2010-10-25,"HAV","2010-11","Havelock North",7,149,2213,8,88,40201.2,15.2,42,72,52.0666666666667
2010-11-01,"HAV","2010-11","Havelock North",8,42,2255,8,116,41261.2,12.8,0,0,54.1333333333333
2010-11-08,"HAV","2010-11","Havelock North",9,272,2527,8,168,42500.4,1.6,0,0,65.4666666666667
2010-11-15,"HAV","2010-11","Havelock North",10,356,2883,8,144,44330.4,19.2,0,0,72.9333333333333
2010-11-22,"HAV","2010-11","Havelock North",11,454,3337,8,145,59456.4,15.1,12.06,19.88,60.9538461538462
2010-11-29,"HAV","2010-11","Havelock North",12,391,3728,6,111,35425.2,24.9,36.18,59.64,47.85
2010-12-06,"HAV","2010-11","Havelock North",13,516,4244,8,320,107730.8,182.4,56.6153846153846,90,71.4461538461538
2010-12-20,"HAV","2010-11","Havelock North",14,552,4796,8,212,53001.6,0,52.2666666666667,102.733333333333,79.3333333333333
2010-12-27,"HAV","2010-11","Havelock North",15,513,5309,8,128,36655.2,12,50.2666666666667,94.3333333333333,73.6
2011-01-03,"HAV","2010-11","Havelock North",16,5379,10688,8,100,2078,7.2,60,99.2,79.4666666666667
2011-01-10,"HAV","2010-11","Havelock North",17,2844,13532,8,116,3816,0,43.3333333333333,100.066666666667,72.1333333333333
2011-01-17,"HAV","2010-11","Havelock North",18,339,13871,8,300,5993.2,592,60.0666666666667,87.2666666666667,73.1333333333333
2011-01-24,"HAV","2010-11","Havelock North",19,51,13922,8,168,7774.8,170,54.7333333333333,96.6,76.7333333333333
2011-01-31,"HAV","2010-11","Havelock North",20,36,13958,8,202,13656.1,2.8,67.3038461538462,110.361538461538,88.2192307692308
2011-02-07,"HAV","2010-11","Havelock North",21,475,14433,6,93,9393.3,6,48.5,72.55,60.3
2011-02-14,"HAV","2010-11","Havelock North",22,1465,15898,8,164,14464.4,8.8,52.1333333333333,85.8,68.8666666666667
2011-02-21,"HAV","2010-11","Havelock North",23,254,16152,8,196,16376,23.2,58.3333333333333,89.3333333333333,71.8666666666667
2011-02-28,"HAV","2010-11","Havelock North",24,210,16362,8,188,18326.4,135.2,52.1333333333333,94.7333333333333,75.6
2011-03-07,"HAV","2010-11","Havelock North",25,17,16379,8,244,19636.8,0,33.6,83.4666666666667,58
2011-03-14,"HAV","2010-11","Havelock North",26,79,16458,8,200,21341.6,16,43.2666666666667,98.5333333333333,71.7333333333333
2011-03-21,"HAV","2010-11","Havelock North",27,121,16579,8,0,0,0,0,0,0
2010-09-06,"RIR","2010-11","Motueka",1,1,1,3,228,25412.4,73.8,24.2,54.45,37.9
2010-09-13,"RIR","2010-11","Motueka",2,20,21,3,237,25894.8,108,11.6,49.8,27.35
2010-09-20,"RIR","2010-11","Motueka",3,46,67,3,129,26212.2,47.4,15.3,53.45,33.25
2010-09-27,"RIR","2010-11","Motueka",4,367,434,3,120,26955,142.2,18.35,56.65,38.65
2010-10-04,"RIR","2010-11","Motueka",5,297,731,3,120,27590.4,13.8,13.8,55.2,35.8
2010-10-11,"RIR","2010-11","Motueka",6,213,944,3,54,28238.4,19.2,19,64.65,40.95
2010-10-18,"RIR","2010-11","Motueka",7,145,1089,3,72,28872.6,5.4,16.85,54,36.7
2010-10-25,"RIR","2010-11","Motueka",8,7,1096,3,66,29693.1,0,20.8,60.75,41.1
2010-11-01,"RIR","2010-11","Motueka",9,3,1099,3,63,30442.2,7.8,21.1,59.45,40.15
2010-11-08,"RIR","2010-11","Motueka",10,1,1100,3,102,31420.2,0,28.5,71.2,50.45
2010-11-15,"RIR","2010-11","Motueka",11,75,1175,3,108,32745.3,24,31.85,73.05,51.25
2010-11-22,"RIR","2010-11","Motueka",12,195,1370,3,135,33825.6,4.2,28.7,67.6,49.2
2010-11-29,"RIR","2010-11","Motueka",13,206,1576,3,84,35208.3,0,32.2,76,54.9
2010-12-06,"RIR","2010-11","Motueka",14,564,2140,3,144,36449.7,84,33.7,65.65,48.35
2010-12-13,"RIR","2010-11","Motueka",15,1371,3511,3,210,37863.3,462,40.3,71.6,54.8
2010-12-20,"RIR","2010-11","Motueka",16,1697,5208,3,33,39356.1,12,28.5,77.85,54.75
2010-12-27,"RIR","2010-11","Motueka",17,865,6073,3,150,28690.2,19.2,33.6923076923077,75.9,55.1538461538461
2011-01-10,"RIR","2010-11","Motueka",18,1325,7398,3,54,2701.8,0,33.35,71.7,53.4
2011-01-17,"RIR","2010-11","Motueka",19,1318,8716,3,96,4101.9,124.2,32.4,64.7,48.8
2011-01-24,"RIR","2010-11","Motueka",20,910,9626,3,21,5041.2,0,33.9,70.05,53.85
2011-01-31,"RIR","2010-11","Motueka",21,1772,11398,3,54,5490.6,3.6,48.825,84.75,64.425
2011-02-07,"RIR","2010-11","Motueka",22,1643,13041,3,60,7055.1,0,35.1,77.2,55.05
2011-02-14,"RIR","2010-11","Motueka",23,1853,14894,3,60,8458.2,0,25.25,75.65,52.15
2011-02-21,"RIR","2010-11","Motueka",24,420,15314,3,114,9792,39,33.35,68.7,50.35
2011-02-28,"RIR","2010-11","Motueka",25,201,15515,3,129,11039.7,118.8,26.5,67.1,48.15
2011-03-07,"RIR","2010-11","Motueka",26,71,15586,3,81,12081.9,0,28.55,67.4,48.95
2011-03-14,"RIR","2010-11","Motueka",27,68,15654,3,111,13329.6,5.4,28.55,70.85,49.25
2011-03-21,"RIR","2010-11","Motueka",28,243,15897,3,147,14407.5,37.8,22.8,65.35,44.35
2011-03-28,"RIR","2010-11","Motueka",29,248,16145,3,165,15254.4,30,16.05,62.1,38.4
2011-04-04,"RIR","2010-11","Motueka",30,84,16229,3,411,35039.1,156,20.0769230769231,57.2076923076923,36.7153846153846
2011-04-18,"RIR","2010-11","Motueka",31,12,16241,3,0,0,0,0,0,0
2010-08-23,"PAK","2010-11","Pakowhai",1,3,3,2,190,30247.1,75.6,8.02631578947368,16.47,11.8
2010-09-13,"PAK","2010-11","Pakowhai",2,71,74,2,26,9524.3,8.4,6.61666666666667,17.7166666666667,12.05
2010-09-20,"PAK","2010-11","Pakowhai",3,39,113,2,53,21492,1.5,8.41538461538462,18.9692307692308,13.7230769230769
2010-10-04,"PAK","2010-11","Pakowhai",4,713,826,2,42,10319.1,6.8,6.71666666666667,19.8,13.0666666666667
2010-10-11,"PAK","2010-11","Pakowhai",5,142,968,2,91,10541.6,92.3,9.98333333333333,17.2166666666667,13.3833333333333
2010-10-18,"PAK","2010-11","Pakowhai",6,16,984,2,52,10782.5,1.1,6.85,17.8,12.05
2010-10-25,"PAK","2010-11","Pakowhai",7,5,989,2,54,11072.9,3.1,10.35,18.35,13.75
2010-11-01,"PAK","2010-11","Pakowhai",8,6,995,2,52,11330,4.8,8.36666666666667,18.2,13.3333333333333
2010-11-08,"PAK","2010-11","Pakowhai",9,708,1703,2,54,11620.8,1.4,10.3166666666667,22.6,16.4
2010-11-15,"PAK","2010-11","Pakowhai",10,667,2370,2,64,12076.2,7.9,13.4166666666667,26.0333333333333,18.9833333333333
2010-11-22,"PAK","2010-11","Pakowhai",11,138,2508,2,58,12430.8,0,9.25,20.7,14.9333333333333
2010-11-29,"PAK","2010-11","Pakowhai",12,108,2616,2,58,12845.7,3.7,12.7666666666667,22.1166666666667,17.3333333333333
2010-12-06,"PAK","2010-11","Pakowhai",13,72,2688,2,136,29261.9,37.2,14.2692307692308,23.3615384615385,18.2
